"time","Active","Deactivated","Total"
2026-01-01 00:00:00,0,9,9
2026-01-02 00:00:00,0,9,9
2026-01-03 00:00:00,0,9,9
2026-01-04 00:00:00,0,9,9
2026-01-05 00:00:00,0,9,9
2026-01-06 00:00:00,0,9,9
2026-01-07 00:00:00,0,9,9
2026-01-08 00:00:00,0,9,9
2026-01-09 00:00:00,0,9,9
2026-01-10 00:00:00,0,9,9
2026-01-11 00:00:00,0,9,9
2026-01-12 00:00:00,0,9,9
2026-01-13 00:00:00,0,9,9
2026-01-14 00:00:00,0,9,9
2026-01-15 00:00:00,2,9,11
2026-01-16 00:00:00,2,9,11
2026-01-17 00:00:00,2,9,11
2026-01-18 00:00:00,2,9,11
2026-01-19 00:00:00,2,9,11
2026-01-20 00:00:00,2,9,11
2026-01-21 00:00:00,6,9,15
2026-01-22 00:00:00,15,9,24
2026-01-23 00:00:00,15,9,24
2026-01-24 00:00:00,15,9,24
2026-01-25 00:00:00,15,9,24
2026-01-26 00:00:00,15,9,24
2026-01-27 00:00:00,23,9,32
2026-01-28 00:00:00,23,9,32
2026-01-29 00:00:00,38,9,47
2026-01-30 00:00:00,38,9,47
2026-01-31 00:00:00,38,9,47
2026-02-01 00:00:00,38,9,47
2026-02-02 00:00:00,50,9,59
2026-02-03 00:00:00,50,9,59
2026-02-04 00:00:00,59,10,69
2026-02-05 00:00:00,70,10,80
2026-02-06 00:00:00,70,10,80
2026-02-07 00:00:00,70,10,80
2026-02-08 00:00:00,93,10,103
2026-02-09 00:00:00,93,10,103
2026-02-10 00:00:00,93,10,103
2026-02-11 00:00:00,121,10,131
2026-02-12 00:00:00,121,10,131
2026-02-13 00:00:00,121,10,131
2026-02-14 00:00:00,121,10,131
2026-02-15 00:00:00,121,10,131
2026-02-16 00:00:00,121,10,131
2026-02-17 00:00:00,151,10,161
2026-02-18 00:00:00,192,10,202
2026-02-19 00:00:00,197,10,207
2026-02-20 00:00:00,204,11,215
2026-02-21 00:00:00,204,11,215
2026-02-22 00:00:00,204,11,215
2026-02-23 00:00:00,204,11,215
2026-02-24 00:00:00,204,11,215
2026-02-25 00:00:00,204,11,215
2026-02-26 00:00:00,204,17,221
2026-02-27 00:00:00,258,17,275
2026-02-28 00:00:00,258,17,275
2026-03-01 00:00:00,258,17,275
2026-03-02 00:00:00,278,17,295
2026-03-03 00:00:00,327,18,345
2026-03-04 00:00:00,328,19,347
2026-03-05 00:00:00,428,21,449
2026-03-06 00:00:00,428,21,449
2026-03-07 00:00:00,428,21,449
2026-03-08 00:00:00,428,21,449
2026-03-09 00:00:00,428,21,449
2026-03-10 00:00:00,428,21,449
2026-03-11 00:00:00,428,21,449
2026-03-12 00:00:00,428,21,449
2026-03-13 00:00:00,428,21,449
2026-03-14 00:00:00,428,21,449
2026-03-15 00:00:00,428,21,449
2026-03-16 00:00:00,428,21,449
2026-03-17 00:00:00,428,21,449
2026-03-18 00:00:00,428,21,449
2026-03-19 00:00:00,428,21,449
2026-03-20 00:00:00,428,21,449
2026-03-21 00:00:00,428,21,449
2026-03-22 00:00:00,428,21,449
2026-03-23 00:00:00,428,21,449
2026-03-24 00:00:00,428,21,449
2026-03-25 00:00:00,428,21,449
2026-03-26 00:00:00,428,21,449
2026-03-27 00:00:00,428,21,449
2026-03-28 00:00:00,428,21,449
2026-03-29 00:00:00,428,21,449
2026-03-30 00:00:00,428,21,449
2026-03-31 00:00:00,428,21,449
2026-04-01 00:00:00,428,21,449
2026-04-02 00:00:00,428,21,449
2026-04-03 00:00:00,428,21,449
2026-04-04 00:00:00,428,21,449
2026-04-05 00:00:00,428,21,449
2026-04-06 00:00:00,428,21,449
2026-04-07 00:00:00,428,21,449
2026-04-08 00:00:00,428,21,449
2026-04-09 00:00:00,428,21,449
2026-04-10 00:00:00,428,21,449
2026-04-11 00:00:00,428,21,449
2026-04-12 00:00:00,428,21,449
2026-04-13 00:00:00,428,21,449
2026-04-14 00:00:00,428,21,449
2026-04-15 00:00:00,428,21,449
2026-04-16 00:00:00,428,21,449
2026-04-17 00:00:00,428,21,449
2026-04-18 00:00:00,428,21,449
2026-04-19 00:00:00,428,21,449
2026-04-20 00:00:00,428,21,449
2026-04-21 00:00:00,428,21,449
2026-04-22 00:00:00,428,21,449
2026-04-23 00:00:00,428,21,449
2026-04-24 00:00:00,428,21,449
2026-04-25 00:00:00,428,21,449
2026-04-26 00:00:00,428,21,449
2026-04-27 00:00:00,428,21,449
2026-04-28 00:00:00,428,21,449
2026-04-29 00:00:00,428,21,449
