"Period","Manual Transaction","Manual Transaction (Failed)","Recurring Charge","Recurring Charge (Failed)","Refund","Refund (Failed)","Verification","Verification (Failed)","Pre-authorisation","Pre-authorisation (Failed)","Reversal","Reversal (Failed)","Other","Other (Failed)"
2026-04-29 00:00:00,40,0,0,0,0,0,5,4,36,0,0,0,0,0
2026-04-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27 00:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2026-04-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-09 00:00:00,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2026-04-08 00:00:00,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2026-04-07 00:00:00,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2026-04-06 00:00:00,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2026-04-05 00:00:00,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2026-04-04 00:00:00,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2026-04-03 00:00:00,1,0,12,33,0,0,1,0,0,0,0,0,0,0
2026-04-02 00:00:00,0,1,131,681,0,0,7,0,1,1,0,0,0,0
2026-04-01 00:00:00,0,0,142,875,0,0,0,0,0,0,0,0,0,0
2026-03-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-27 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
